Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp,
AB_PlayerTransferBtn,Player Transfer,Player Transfer,Přenos hráče,Überweisung,Переводы игрокам,Transfer gracza,Player Transfer,Trasferimento del giocatore,Transferencia de jugador,Transfert de joueur,球員轉會,プレーヤーの転送,Transferir para jogador,球员转会,
AB_BankAccount,Bank Account,Bank Account,Bankovní účet,Bank Konto,Банковский счет,Konto bankowe,Bankszámla,Conto bancario,Cuenta bancaria,Compte bancaire,銀行賬戶,銀行口座,Conta bancária,银行账户
AB_ClanAccount,Clan Account,Clan Account,Klanový účet,Clan Konto,Клановый счет,Clan bankowe,Klánszámla,Account del clan,Cuenta del clan,Compte de clan,家族賬戶,クランアカウント,Conta do clan,家族账户
AB_WITHDRAW,Withdraw,Withdraw,Ustoupit,Abheben,Снять,Wycofać,Visszavonás,Ritira,Retirar,Retirer,提取,撤回,Sacar,提取
AB_DEPOSIT,Deposit,Deposit,Vklad,Einzahlen,Положить,Kaucja,Letét,Depositare,Depositar,Déposer,訂金,預り金,Depositar,订金
AB_ClanSettings,Clan Settings,Clan Settings,Nastavení klanu,Clan Einstellungen,Настройки клана,Ustawienia klanu,A klán beállításai,Impostazioni del clan,Configuración del clan,Paramètres de clan,戰隊設置,クラン設定,Configurações clan,战队设置
AB_Amount,Amount,Amount,Množství,Betrag,Количество,Ilość,Összeg,Quantità,Cantidad,Montant,數量,量,Quantia,数量
AB_Send,Send,Send,Poslat,Senden,Отправить,Wysłać,Küld,Spedire,Enviar,Envoyer,發送,送信,Enviar,发送
AB_TransferConfirm,Are you sure you want to transfer,Are you sure you want to transfer,Opravdu chcete provést převod,Bist du sicher das du das überweisen willst,"Вы уверены, что хотите отправить",Czy na pewno chcesz przenieść,Biztosan át akarja adni,Sei sicuro di voler trasferire,Estas seguro que quieres transferir,Êtes-vous sûr de vouloir transférer ?,您確定要轉移嗎,転送してもよろしいですか,Tem certeza que deseja transferir,您确定要转移吗
AB_YES,Yes,Yes,Ano,Ja,Да,tak,Igen,sì,sí,Oui,是的,はい,Sim,是的
AB_NO,No,No,Ne,Nein,Нет,Nie,Nem,No,No,Non,不,番号,Não,不
AB_KICK,Kick,Kick,Kop,Entfernen,Исключить,kopnięcie,Rúgás,Calcio,Patear,Exclure,踢,キック,Expulsar,踢
AB_Leave,Leave,Leave,Odejít,Verlassen,Покинуть,Pozostawiać,Elhagy,Partire,Salir,Laisser,離開,去る,Sair,离开
AB_Back,Back,Back,Zadní,Zurück,Назад,Z powrotem,Vissza,Indietro,atrás,Retour,後退,バック,Voltar,后退
AB_ClanMembers,Clan Members,Clan Members,Členové klanu,Clan Mitglieder,Участники клана,Członkowie klanu,Klán tagok,Membri del clan,Miembros del clan,Membres du clan,氏族成員,クランメンバー,Membros do clan,氏族成员
AB_CanWithdraw,Can Withdraw,Can Withdraw,Může odstoupit,Kann Abheben,Можно снять,Może wycofać,Visszavonhat,Può ritirarsi,Puede retirarse,Peut retirer,可以提款,撤回できます,Pode sacar,可以提款
AB_CanDeposit,Can Deposit,Can Deposit,Může vložit,Kann Einzahlen,Можно положить,Może zdeponować,Lehet letétbe helyezni,Può depositare,Puede depositar,Peut déposer,可以存款,デポジットできます,Pode depositar,可以邀请会员
AB_CanInviteMember,Can Invite Member,Can Invite Member,Může pozvat člena,Kann Spieler einladen,Можно пригласить участника,Może zaprosić członka,Meghívhatja a tagot,Può invitare un membro,Puede invitar a un miembro,Peut inviter un membre,可以邀請會員,メンバーを招待できます,Pode convidar membro,可以邀请会员
AB_CanKickMember,Can Kick Member,Can Kick Member,Může kopnout člena,Kann Spieler Kicken,Можно исключить участника,Może wyrzucić członka,Rúghatja a tagot,Può calciare un membro,Can Kick Member,Peut exclure un membre du clan,可以踢會員,メンバーを蹴ることができます,Pode expulsar membro,可以踢会员
AB_CanEditPermissions,Can Edit Permissions,Can Edit Permissions,Může upravovat oprávnění,Kann Rechte verändern,Можно редактировать разрешения,Może edytować uprawnienia,Szerkesztheti az engedélyeket,Può modificare le autorizzazioni,Puede editar permisos,Peut modifier les permissions,可以編輯權限,権限を編集できます,Pode editar permissões,可以编辑权限
AB_Add,Add Member,Add Member,Přidat člena,Spieler Hinzufügen,Добавить участников,Dodaj członka,Tag hozzáadása,Aggiungi membro,Añadir miembro,Ajouter un membre,新增會員,メンバーを追加,Adicionar membro,新增会员
AB_ClanName,Clan Name,Clan Name,Jméno klanu,Clan Name,Название клана,Nazwa klanu,Klán név,Nome del clan,Nombre del clan,Nom du clan,姓氏,クラン名,Nome do clan,姓氏
AB_ClanTag,Clan Tag,Clan Tag,Značka klanu,Clan Tag,Клан тэг,Znak klanu,Klán cédula,Tag clan,Etiqueta del clan,Tag du clan,氏族標籤,クランタグ,Tag do clan,氏族标签
AB_Save,Save,Save,Uložit,Speichern,Схоронить,Zapisać,Mentés,Save,Salvar,Enregistrer,救,セーブ,Salvar,救
AB_NewClanLine1,You don't have a Clan Account yet!,You don't have a Clan Account yet!,Ještě nemáte klanový účet!,Du hast aktuell keinen Clan Account!,У вас еще нет учетной записи клана!,Nie masz jeszcze konta klanowego!,Még nem rendelkezik klánszámlával!,Non hai ancora un account di clan!,¡Aún no tienes una cuenta de clan!,Vous n'avez pas encore de compte de clan !,您還沒有公會帳戶！,クランアカウントをまだお持ちではありません！,Você ainda não tem uma conta de clan!,您还没有公会帐户！
AB_NewClanLine2,Do you want to create one now?,Do you want to create one now?,Chcete si jej teď vytvořit?,Willst du dir nun einen erstellen?,Вы хотите создать его?,Czy chcesz je teraz utworzyć?,Szeretne most létrehozni egyet?,Vuoi crearne uno adesso?,¿Quieres crear uno ahora?,Voulez-vous en créer un maintenant ?,您要現在創建一個嗎？,今すぐ作成しますか？,Você quer criar uma agora?,您要现在创建一个吗？
AB_Price,Price:,Price:,Cena:,Preis:,Цена:,Cena £:,Ár:,Prezzo:,Precio:,Prix :,價格：,価格：,Valor:,价格
AB_NotThatFast,Not that fast bro!,Not that fast bro!,Ne tak rychlý brácho!,nicht so schnell!,"Не так быстро, братан!",Nie tak szybko stary!,Nem olyan gyors tesó!,Non così veloce fratello!,¡No tan rápido hermano!,Pas si vite !,沒那麼快兄弟！,そんなに速い仲間じゃない！,Não tão rápido!,没那么快兄弟！
